579-1,Atlas F,Roswell,Walker,Lat: 33°35'49.84""N,Long: 104°20'23.73""W
579-10,Atlas F,Roswell,Walker,Lat: 33°22'20.51""N,Long: 104°52'59.23""W
579-11,Atlas F,Roswell,Walker,Lat: 33°35'59.92""N,Long: 104°34'33.80""W
579-12,Atlas F,Roswell,Walker,Lat: 33°43'46.10""N,Long: 104°34'5.20""W
579-2,Atlas F,Elkins,Walker,Lat: 33°38'25.69""N,Long: 104°12'9.16""W
579-3,Atlas F,Elkins,Walker,Lat: 33°41'16.39""N,Long: 104° 4'33.05""W
579-4,Atlas F,Roswell,Walker,Lat: 33°25'28.02""N,Long: 104°11'18.89""W
579-5,Atlas F,Roswell,Walker,Lat: 33°25'21.13""N,Long: 104° 2'54.04""W
579-6,Atlas F,Hagerman,Walker,Lat: 33° 4'21.69""N,Long: 104° 7'12.77""W
579-7,Atlas F,Hagerman,Walker,Lat: 33° 6'16.84""N,Long: 104°15'26.48""W
579-8,Atlas F,Lake Arthur,Walker,Lat: 33° 0'15.17""N,Long: 104°20'22.72""W
579-9,Atlas F,Picacho,Walker,Lat: 33°21'14.59""N,Long: 105° 2'7.22""W
549-A,Atlas D,Mead,Offutt,Lat: 41°11'36.66""N,Long: 96°26'22.44""W
549-B,Atlas D,Arlington,Offutt,Lat: 41°29'17.42""N,Long: 96°17'59.18""W
566-4,Atlas E,Kimball,F.E. Warren,Lat: 41°12'36.44""N,Long: 103°41'9.92""W
551-1,Atlas F,Elmwood,Lincoln,Lat: 40°48'58.21""N,Long: 96°12'20.58""W
551-10,Atlas F,York,Lincoln,Lat: 40°53'43.02""N,Long: 97°41'7.96""W
551-11,Atlas F,Seward,Lincoln,Lat: 40°55'36.69""N,Long: 97°11'11.37""W
551-12,Atlas F,David City,Lincoln,Lat: 41°12'40.01""N,Long: 96°57'42.40""W
551-2,Atlas F,Avoca,Lincoln,Lat: 40°49'20.41""N,Long: 96°21'41.34""W
551-3,Atlas F,Eagle,Lincoln,Lat: 40°48'32.21""N,Long: 96° 2'1.84""W
551-4,Atlas F,Nebraska City,Lincoln,Lat: 40°40'36.04""N,Long: 95°56'43.68""W
551-5,Atlas F,Palmyra,Lincoln,Lat: 40°41'40.65""N,Long: 96°22'50.87""W
