OA-17 IFC,Nike,Kauka/Kahuku,Oahu,Lat: 21°40'1.43""N,Long: 157°59'59.17""W
OA-17 Launch Battery,Nike,Kauka/Kahuku,Oahu,Lat: 21°39'52.86""N,Long: 157°58'55.50""W
OA-32 IFC,Nike,Bellows AFS/Waimanalo,Oahu,Lat: 21°19'13.74""N,Long: 157°40'54.04""W
OA-32 Launch Battery,Nike,Bellows/Waimanalo,Oahu,Lat: 21°20'55.07""N,Long: 157°42'27.24""W
OA-63 IFC 1,Nike,Ewa/Makakilo,Oahu,Lat: 21°23'10.37""N,Long: 158° 6'18.92""W
OA-63 IFC 2,Nike,Ewa/Makakilo,Oahu,Lat: 21°22'38.07""N,Long: 158° 6'43.25""W
OA-63 Launch Battery,Nike,Ewa/Makakilo,Oahu,Lat: 21°21'51.41""N,Long: 158° 6'45.67""W
OA-84 Launcher,Nike,Waialua/Dillingham,Oahu,Lat: 21°32'45.13""N,Long: 158°11'40.99""W
OA-84 Launch Battery,Nike,Waialua Dillingham,Oahu,Lat: 21°34'36.75""N,Long: 158°11'41.61""W
HM-01/03 IFC,Nike,Opa Locka/Carol City,Homestead/Miami,Lat: 25°56'38.04""N,Long: 80°18'5.76""W
HM-01/03 Launcher,Nike,Opa Locka/Carol City,Homestead/Miami,Lat: 25°57'42.38""N,Long: 80°18'11.84""W
HM-40 IFC,Nike,Key Largo,Homestead/Miami,Lat: 25°16'34.55""N,Long: 80°18'10.44""W
HM-40 Launcher,Nike,Key Largo,Homestead/Miami,Lat: 25°15'41.83""N,Long: 80°18'49.09""W
HM-66/69 IFC,Nike,Florida City,Homestead/Miami,Lat: 25°23'24.89""N,Long: 80°40'51.20""W
HM-66/69 Dual Site Launcher,Nike,Florida City,Homestead/Miami,Lat: 25°22'12.48""N,Long: 80°41'4.92""W
HM-95 IFC,Nike,12 Miles West of Miami,Homestead/Miami,Lat: 25°44'15.35""N,Long: 80°28'55.02""W
HM-95 Launcher,Nike,12 Miles West of Miami,Homestead/Miami,Lat: 25°45'21.89""N,Long: 80°29'27.54""W
BG-40 IFC,Nike,Elroy,Bergstrom AFB,Lat: 30° 6'19.83""N,Long: 97°35'32.89""W
BG-40 Launcher,Nike,Elroy,Bergstrom AFB,Lat: 30° 5'50.66""N,Long: 97°35'16.25""W
BG-80 IFC,Nike,Austin,Bergstrom AFB,Lat: 30°18'19.60""N,Long: 97°50'23.68""W
BG-80 Launcher,Nike,Austin,Bergstrom AFB,Lat: 30°18'51.86""N,Long: 97°52'0.86""W
DF-01 IFC,Nike,Denton,Dallas Fort Worth,Lat: 33°16'29.56""N,Long: 97° 7'55.41""W
DF-01 Launcher,Nike,Denton,Dallas Fort Worth,Lat: 33°17'25.13""N,Long: 97° 8'8.95""W
DF-20 IFC,Nike,Terell,Dallas Fort Worth,Lat: 32°45'46.76""N,Long: 96°18'45.75""W
DF-20 Launcher,Nike,Terell,Dallas Fort Worth,Lat: 32°46'2.70""N,Long: 96°17'42.70""W
DF-50 IFC,Nike,Alvarado,Dallas Fort Worth,Lat: 32°23'25.91""N,Long: 97°10'0.42""W
DF-50 Launcher,Nike,Alvarado,Dallas Fort Worth,Lat: 32°22'48.10""N,Long: 97°10'9.06""W
DF-70 IFC,Nike,Fort Wolters,Dallas Fort Worth,Lat: 32°50'58.51""N,Long: 98° 2'41.66""W
DF-70 Launcher,Nike,Fort Wolters,Dallas Fort Worth,Lat: 32°51'0.56""N,Long: 98° 3'33.02""W
DY-10 IFC,Nike,Fort Phantom Hill,Dyess AFB,Lat: 32°33'52.64""N,Long: 99°42'59.41""W
DY-10 Launcher,Nike,Fort Phantom Hill,Dyess AFB,Lat: 32°34'49.48""N,Long: 99°43'3.38""W
DY-50 IFC,Nike,Abilene,Dyess AFB,Lat: 32°17'4.35""N,Long: 99°56'37.47""W
DY-50 Launcher,Nike,Abilene,Dyess AFB,Lat: 32°16'16.47""N,Long: 99°57'31.50""W
Bay IFC,Nike,Anchorage,Anchorage,Lat: 61°23'47.80""N,Long: 149°51'25.14""W
Bay Launcher,Nike,Anchorage,Anchorage,Lat: 61°24'24.31""N,Long: 149°53'5.58""W
Jig IFC,Nike,Eielson AFB,Fairbanks,Lat: 64°32'12.55""N,Long: 146°59'49.04""W
Jig Launcher,Nike,Eielson AFB,Fairbanks,Lat: 64°31'37.87""N,Long: 146°57'52.62""W
Love IFC,Nike,Fairbanks,Fairbanks,Lat: 64°58'19.22""N,Long: 147°54'40.40""W
Love Launch Battery,Nike,Fairbanks,Fairbanks,Lat: 64°59'3.71""N,Long: 147°53'6.76""W
Mike IFC,Nike,Eielson AFB,Fairbanks,Lat: 64°34'55.11""N,Long: 146°45'5.38""W
Mike Launch Battery,Nike,Eielson AFB,Fairbanks,Lat: 64°35'13.00""N,Long: 146°43'41.56""W
Peter IFC,Nike,Eielson AFB (15 miles East),Fairbanks,Lat: 64°39'52.87""N,Long: 146°44'17.76""W
Peter Launch Battery,Nike,Eielson AFB (15 miles East),Fairbanks,Lat: 64°40'26.61""N,Long: 146°45'2.83""W
Point IFC,Nike,Anchorage,Anchorage,Lat: 61° 9'29.75""N,Long: 150° 2'7.51""W
Point Launch Battery,Nike,Anchorage,Anchorage,Lat: 61° 9'25.80""N,Long: 150° 3'21.60""W
Summit IFC,Nike,Anchorage,Anchorage,Lat: 61°15'29.14""N,Long: 149°31'43.03""W
Summit Launcher,Nike,Anchorage,Anchorage,Lat: 61°14'53.49""N,Long: 149°32'52.58""W
Tare IFC,Nike,Newman (20 miles south),Fairbanks,Lat: 64°43'35.07""N,Long: 147°12'55.42""W
Tare Launch Battery,Nike,Newman (20 miles south),Fairbanks,Lat: 64°45'29.17""N,Long: 147°13'2.44""W
WA-10 IFC,Nike,Roswell,Walker AFB,Lat: 33°25'30.65""N,Long: 104°20'51.57""W
WA-10 Launcher,Nike,Roswell,Walker AFB,Lat: 33°26'10.26""N,Long: 104°20'7.08""W
WA-50 IFC,Nike,Hagerman,Walker AFB,Lat: 33° 8'25.00""N,Long: 104°32'32.00""W
WA-50 Launcher,Nike,Hagerman,Walker AFB,Lat: 33° 7'34.04""N,Long: 104°32'37.25""W
MH-05 IFC,Nike,,Mountain Home AFB,Lat: 43° 9'39.90""N,Long: 115°46'4.43""W
MH-05 Launch Battery,Nike,,Mountain Home AFB,Lat: 43° 9'58.74""N,Long: 115°47'11.54""W
MH-79 IFC,Nike,,Mountain Home AFB,Lat: 43° 5'19.79""N,Long: 116° 3'17.66""W
MH-79 Launch Battery,Nike,,Mountain Home AFB,Lat: 43° 5'36.92""N,Long: 116° 4'17.32""W
F-07 IFC,Nike,Spokane,Fairchild AFB,Lat: 47°42'8.66""N,Long: 117°34'31.61""W
F-07 Launcher,Nike,Spokane,Fairchild AFB,Lat: 47°40'50.71""N,Long: 117°36'28.02""W
F-37 IFC,Nike,Cheney,Fairchild AFB,Lat: 47°33'4.88""N,Long: 117°33'16.28""W
F-37 Launcher,Nike,Cheney,Fairchild AFB,Lat: 47°32'29.69""N,Long: 117°32'47.10""W
F-45 IFC,Nike,Medical Lake,Fairchild AFB,Lat: 47°33'12.63""N,Long: 117°43'38.61""W
F-45 Launcher,Nike,Medical Lake,Fairchild AFB,Lat: 47°35'10.69""N,Long: 117°40'32.70""W
F-87 IFC,Nike,Deep Creek,Fairchild AFB,Lat: 47°42'11.36""N,Long: 117°44'32.12""W
F-87 Launcher,Nike,Deep Creek,Fairchild AFB,Lat: 47°39'40.20""N,Long: 117°42'56.34""W
H-06 IFC,Nike,Saddle Mountain,Hanford,Lat: 46°47'32.07""N,Long: 119°26'46.21""W
H-06 Launcher,Nike,Saddle Mountain,Hanford,Lat: 46°44'54.64""N,Long: 119°25'46.47""W
H-12 IFC,Nike,Othello,Hanford,Lat: 46°41'25.77""N,Long: 119°22'38.16""W
H-12 Launcher,Nike,Othello,Hanford,Lat: 46°41'12.41""N,Long: 119°24'29.14""W
H-52 IFC,Nike,Rattlesnake Mountain,Hanford,Lat: 46°23'43.33""N,Long: 119°35'45.72""W
H-52 Launcher,Nike,Rattlesnake Mountain,Hanford,Lat: 46°23'31.93""N,Long: 119°31'57.87""W
H-83 IFC,Nike,Priest Rapids,Hanford,Lat: 46°40'21.25""N,Long: 119°42'17.65""W
H-83 Launcher,Nike,Priest Rapids,Hanford,Lat: 46°41'45.19""N,Long: 119°42'14.94""W
S-03 IFC,Nike,Kenmore,Seattle,Lat: 47°46'23.48""N,Long: 122°16'41.68""W
S-03 Launcher,Nike,Kenmore,Seattle,Lat: 47°47'24.92""N,Long: 122°14'5.95""W
S-13 & S-14 Dual IFC,Nike,Redmond,Seattle,Lat: 47°41'7.65""N,Long: 122° 6'27.52""W
S-13/S-14 Shared Launcher,Nike,Redmond,Seattle,Lat: 47°41'0.49""N,Long: 122° 4'24.37""W
S-20 IFC,Nike,Cougar,Seattle,Lat: 47°32'29.78""N,Long: 122° 5'52.38""W
S-20 Launcher,Nike,Cougar,Seattle,Lat: 47°31'52.24""N,Long: 122° 6'48.82""W
S-32 & S-33 Shared Launcher,Nike,Youngs Lake/Renton,Seattle,Lat: 47°27'5.84""N,Long: 122° 6'52.17""W
S-32 IFC,Nike,Lake Young,Seattle,Lat: 47°26'8.68""N,Long: 122° 7'6.89""W
S-33 IFC,Nike,Lake Young/Renton,Seattle,Lat: 47°25'44.66""N,Long: 122° 8'41.90""W
S-43 IFC,Nike,Kent/Midway,Seattle,Lat: 47°23'46.50""N,Long: 122°16'56.13""W
S-43 Launcher,Nike,Kent/Midway,Seattle,Lat: 47°22'53.51""N,Long: 122°17'4.08""W
S-61 IFC,Nike,Vashon Island,Seattle,Lat: 47°25'5.62""N,Long: 122°27'48.69""W
S-61 Launcher,Nike,Vashon Island,Seattle,Lat: 47°24'39.77""N,Long: 122°29'0.98""W
S-62 IFC,Nike,Ollala,Seattle,Lat: 47°25'50.80""N,Long: 122°32'30.00""W
S-62 Launcher,Nike,Ollala,Seattle,Lat: 47°25'10.74""N,Long: 122°33'19.97""W
S-81 IFC,Nike,Paulsbo,Seattle,Lat: 47°43'45.44""N,Long: 122°37'47.53""W
S-81 Launcher,Nike,Poulsbo,Seattle,Lat: 47°45'28.06""N,Long: 122°39'42.31""W
S-82 IFC,Nike,Winslow/Bainbridge,Seattle,Lat: 47°36'29.49""N,Long: 122°31'24.16""W
S-82 Launcher,Nike,Winslow/Bainbridge,Seattle,Lat: 47°38'20.40""N,Long: 122°32'55.40""W
S-92 IFC,Nike,Kingston,Seattle,Lat: 47°48'25.38""N,Long: 122°29'36.07""W
S-92 Launcher,Nike,Kingston,Seattle,Lat: 47°47'52.52""N,Long: 122°31'5.72""W
LA-04 IFC,Nike,Mount Gleason/Palmdale,Los Angeles,Lat: 34°22'36.13""N,Long: 118°10'39.02""W
LA-04 Launcher,Nike,Mount Gleason/Palmdale,Los Angeles,Lat: 34°22'47.02""N,Long: 118° 9'8.07""W
LA-09 IFC,Nike,Mount Disappointment/Barkley,Los Angeles,Lat: 34°14'47.09""N,Long: 118° 6'17.78""W
LA-09 Launcher,Nike,Mount Disappointment/Barkley,Los Angeles,Lat: 34°16'35.22""N,Long: 118° 4'19.69""W
LA-14 IFC,Nike,South El Monte,Los Angeles,Lat: 34° 1'1.62""N,Long: 118° 0'53.72""W
LA-14 Launcher,Nike,South El Monte,Los Angeles,Lat: 34° 2'35.44""N,Long: 118° 3'32.77""W
LA-29 IFC,Nike,Brea/Puente Hill,Los Angeles,Lat: 33°57'18.35""N,Long: 117°53'44.44""W
LA-29 Launcher,Nike,Brea/Puente Hill,Los Angeles,Lat: 33°57'35.26""N,Long: 117°53'7.53""W
LA-32 IFC,Nike,Garden Grove/Stanton,Los Angeles,Lat: 33°47'52.38""N,Long: 118° 0'37.12""W
LA-32 Launcher,Nike,Garden Grove/Stanton,Los Angeles,Lat: 33°47'25.34""N,Long: 118° 0'10.35""W
LA-40 IFC,Nike,Long Beach Airport,Los Angeles,Lat: 33°48'34.95""N,Long: 118° 8'4.60""W
LA-40 Launcher,Nike,Long Beach Airport,Los Angeles,Lat: 33°48'35.08""N,Long: 118° 8'42.81""W
LA-43 IFC,Nike,Fort MacArthur (upper),Los Angeles,Lat: 33°42'43.27""N,Long: 118°17'39.39""W
LA-43 Launcher,Nike,Fort MacArthur (upper),Los Angeles,Lat: 33°42'59.05""N,Long: 118°18'48.96""W
LA-55 IFC,Nike,Point Vincente,Los Angeles,Lat: 33°45'23.63""N,Long: 118°22'7.55""W
LA-55 Launcher,Nike,Point Vincente,Los Angeles,Lat: 33°44'36.85""N,Long: 118°24'14.34""W
LA-57 IFC,Nike,Redondo Beach/Torrence,Los Angeles,Lat: 33°49'47.44""N,Long: 118°22'28.24""W
LA-57 Launcher,Nike,Redondo Beach/Torrence,Los Angeles,Lat: 33°47'48.48""N,Long: 118°19'47.93""W
LA-70 IFC,Nike,Hyperion/Playa del Rey,Los Angeles,Lat: 33°57'23.84""N,Long: 118°26'44.59""W
LA-70/LA-73 shared Launcher,Nike,Play del Rey/LAX,Los Angeles,Lat: 33°57'4.69""N,Long: 118°26'11.90""W
LA-73 IFC,Nike,Playa del Rey/LAX,Los Angeles,Lat: 33°57'30.69""N,Long: 118°26'8.48""W
LA-78 IFC,Nike,Malibu,Los Angeles,Lat: 34° 4'41.64""N,Long: 118°39'19.78""W
LA-78 Launcher,Nike,Malibu,Los Angeles,Lat: 34° 3'36.91""N,Long: 118°38'46.69""W
LA-88 IFC,Nike,Chatsworth/Oat Mountain,Los Angeles,Lat: 34°19'34.82""N,Long: 118°35'12.56""W
LA-88 Launcher,Nike,Chatsworth/Oat Mountain,Los Angeles,Lat: 34°18'43.58""N,Long: 118°36'25.48""W
LA-94 IFC,Nike,Los Pinetos/Newhall,Los Angeles,Lat: 34°21'10.83""N,Long: 118°25'0.61""W
LA-94 Launcher,Nike,Los Pinetos/Newhall,Los Angeles,Lat: 34°20'50.41""N,Long: 118°24'32.07""W
LA-96 IFC,Nike,Van Nuys/Sepulveda,Los Angeles,Lat: 34° 7'43.11""N,Long: 118°30'45.93""W
LA-96 Launcher,Nike,Van Nuys/Sepulveda,Los Angeles,Lat: 34°11'6.45""N,Long: 118°28'56.09""W
LA-98 IFC,Nike,Magic Mountain/Lang Saugus,Los Angeles,Lat: 34°23'10.77""N,Long: 118°19'45.35""W
LA-98 Launcher,Nike,Magic Mountain/Lang Saugus,Los Angeles,Lat: 34°25'56.46""N,Long: 118°22'33.83""W
SF-08 IFC,Nike,San Pablo Ridge/Berkeley,San Francisco,Lat: 37°56'22.68""N,Long: 122°16'40.42""W
SF-08 Launcher,Nike,San Pablo Ridge/Berkeley,San Francisco,Lat: 37°55'35.12""N,Long: 122°15'44.11""W
SF-09 IFC,Nike,San Pablo Ridge/Berkeley,San Francisco,Lat: 37°56'20.49""N,Long: 122°16'41.38""W
SF-09 Launcher,Nike,San Pablo Ridge/Berkeley,San Francisco,Lat: 37°55'31.01""N,Long: 122°15'41.56""W
SF-25 IFC,Nike,Rock Ridge,San Francisco,Lat: 37°48'57.13""N,Long: 122° 3'44.03""W
SF-25 Launcher,Nike,Rock Ridge,San Francisco,Lat: 37°48'41.67""N,Long: 122° 2'26.56""W
SF-31 IFC,Nike,Lake Chabot/Castro Valley,San Francisco,Lat: 37°43'25.68""N,Long: 122° 7'7.41""W
SF-31 Launcher,Nike,Lake Chabot/Castro Valley,San Francisco,Lat: 37°43'16.80""N,Long: 122° 5'55.67""W
SF-37 IFC,Nike,Coyote Hills/Newark,San Francisco,Lat: 37°32'24.87""N,Long: 122° 4'56.22""W
SF-37 Launcher,Nike,Coyote Hills/Newark,San Francisco,Lat: 37°33'34.93""N,Long: 122° 5'44.98""W
SF-51 IFC,Nike,Milagra/Pacifica,San Francisco,Lat: 37°36'47.91""N,Long: 122°27'33.10""W
SF-51 Launcher,Nike,Milagra/Pacifica,San Francisco,Lat: 37°38'22.08""N,Long: 122°28'44.65""W
SF-59 IFC,Nike,Fort Funston/Mount San Bruno,San Francisco,Lat: 37°41'32.81""N,Long: 122°26'52.53""W
SF-59 Launcher,Nike,Fort Funston/Mount San Bruno,San Francisco,Lat: 37°42'53.59""N,Long: 122°30'6.19""W
SF-87 IFC,Nike,Fort Cronkhite/Sausalito,San Francisco,Lat: 37°49'40.23""N,Long: 122°29'57.90""W
SF-87 Launcher,Nike,Fort Cronkhite/Sausalito,San Francisco,Lat: 37°50'6.98""N,Long: 122°31'50.73""W
SF-88 IFC,Nike,Fort Barry/Sausalito,San Francisco,Lat: 37°50'32.53""N,Long: 122°31'55.75""W
SF-88 Launcher,Nike,Fort Barry/Sausalito,San Francisco,Lat: 37°49'36.53""N,Long: 122°31'39.69""W
SF-89 IFC,Nike,Fort Winfield Scott,San Francisco,Lat: 37°45'29.66""N,Long: 122°27'26.24""W
SF-89 Launcher,Nike,Fort Winfield Scott,San Francisco,Lat: 37°47'32.55""N,Long: 122°28'26.20""W
SF-91 IFC,Nike,Angel Island,San Francisco,Lat: 37°51'41.43""N,Long: 122°25'50.58""W
SF-91 Launcher,Nike,Angel Island,San Francisco,Lat: 37°51'23.24""N,Long: 122°25'21.51""W
SF-93 IFC,Nike,San Raphael,San Francisco,Lat: 37°59'52.03""N,Long: 122°30'9.63""W
SF-93 Launcher,Nike,San Raphael,San Francisco,Lat: 38° 1'26.45""N,Long: 122°31'15.81""W
T-10 IFC,Nike,Elmira,Travis AFB,Lat: 38°19'0.79""N,Long: 121°52'20.71""W
T-10 Launcher,Nike,Elmira,Travis AFB,Lat: 38°19'2.23""N,Long: 121°53'38.25""W
T-33 IFC,Nike,Dixon/Lambie,Travis AFB,Lat: 38°13'4.06""N,Long: 121°50'51.74""W
T-33 Launcher,Nike,Dixon/Lambie,Travis AFB,Lat: 38°13'25.72""N,Long: 121°51'48.34""W
T-53 IFC,Nike,Potrero Hills,Travis AFB,Lat: 38°12'26.53""N,Long: 121°56'57.89""W
T-53 Launcher,Nike,Potrero Hills,Travis AFB,Lat: 38°12'10.67""N,Long: 121°56'8.85""W
T-86 IFC,Nike,Fairfield/Cement Hills,Travis AFB,Lat: 38°17'56.85""N,Long: 121°59'58.03""W
T-86 Launcher,Nike,Fairfield/Cement Hills,Travis AFB,Lat: 38°16'34.20""N,Long: 122° 0'9.28""W
